Title,Year,Rating,Duration,Genre,Score,Summary,Link
Star Trek,2009,PG-13,127 min,"Action, Adventure, Sci-Fi",7.9/10,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,https://www.imdb.com/title/tt0796366/
Sicario,2015,R,121 min,"Action, Crime, Drama",7.6/10,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,https://www.imdb.com/title/tt3397884/
Equilibrium,2002,R,107 min,"Action, Drama, Sci-Fi",7.4/10,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",https://www.imdb.com/title/tt0238380/
Sherlock Holmes: A Game of Shadows,2011,PG-13,129 min,"Action, Adventure, Crime",7.5/10,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",https://www.imdb.com/title/tt1515091/
The Boondock Saints,1999,R,108 min,"Action, Crime, Thriller",7.8/10,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,https://www.imdb.com/title/tt0144117/
John Wick: Chapter 2,2017,R,122 min,"Action, Crime, Thriller",7.5/10,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",https://www.imdb.com/title/tt4425200/
John Wick,2014,R,101 min,"Action, Crime, Thriller",7.4/10,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,https://www.imdb.com/title/tt2911666/
The Fifth Element,1997,PG-13,126 min,"Action, Adventure, Sci-Fi",7.7/10,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",https://www.imdb.com/title/tt0119116/
Kingsman: The Secret Service,2014,R,129 min,"Action, Adventure, Comedy",7.7/10,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",https://www.imdb.com/title/tt2802144/
Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3/10,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",https://www.imdb.com/title/tt1825683/
Fast & Furious,2009,PG-13,107 min,"Action, Crime, Thriller",6.6/10,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",https://www.imdb.com/title/tt1013752/
Bad Boys,1995,R,119 min,"Action, Comedy, Crime",6.9/10,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,https://www.imdb.com/title/tt0112442/
Ready Player One,2018,PG-13,140 min,"Action, Adventure, Sci-Fi",7.5/10,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",https://www.imdb.com/title/tt1677720/
Mr. & Mrs. Smith,2005,PG-13,120 min,"Action, Comedy, Crime",6.5/10,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,https://www.imdb.com/title/tt0356910/
Jurassic World,2015,PG-13,124 min,"Action, Adventure, Sci-Fi",7/10,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",https://www.imdb.com/title/tt0369610/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143 min,"Action, Adventure, Fantasy",8/10,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",https://www.imdb.com/title/tt0325980/
Predator,1987,R,107 min,"Action, Adventure, Sci-Fi",7.8/10,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,https://www.imdb.com/title/tt0093773/
X-Men,2000,PG-13,104 min,"Action, Adventure, Sci-Fi",7.4/10,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",https://www.imdb.com/title/tt0120903/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143 min,"Action, Adventure, Fantasy",8/10,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",https://www.imdb.com/title/tt0325980/
The World's End,2013,R,109 min,"Action, Comedy, Sci-Fi",7/10,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,https://www.imdb.com/title/tt1213663/
First Blood,1982,R,93 min,"Action, Adventure",7.7/10,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,https://www.imdb.com/title/tt0083944/
Speed,1994,R,116 min,"Action, Adventure, Thriller",7.2/10,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,https://www.imdb.com/title/tt0111257/
The Rock,1996,R,136 min,"Action, Adventure, Thriller",7.4/10,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",https://www.imdb.com/title/tt0117500/
The Hunger Games,2012,PG-13,142 min,"Action, Adventure, Sci-Fi",7.2/10,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,https://www.imdb.com/title/tt1392170/
"I, Robot",2004,PG-13,115 min,"Action, Drama, Sci-Fi",7.1/10,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",https://www.imdb.com/title/tt0343818/
Prince of Persia: The Sands of Time,2010,PG-13,116 min,"Action, Adventure, Fantasy",6.6/10,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,https://www.imdb.com/title/tt0473075/
